Movie_title,Year,Ratings,Age_limit,Votes,duration
1. The Shawshank Redemption,1994,9.3,17,3.1,142.0
2. The Godfather,1972,9.2,17,2.2,175.0
3. The Dark Knight,2008,9.1,13,3.1,152.0
4. The Godfather Part II,1974,9.0,17,1.5,202.0
5. 12 Angry Men,1957,9.0,5,948000.0,96.0
6. The Lord of the Rings: The Return of the King,2003,9.0,13,2.1,201.0
7. Schindler's List,1993,9.0,17,1.5,195.0
8. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,13,2.1,178.0
9. Pulp Fiction,1994,8.8,17,2.4,154.0
"10. The Good, the Bad and the Ugly",1966,8.8,17,868000.0,178.0
11. Forrest Gump,1994,8.8,13,2.4,142.0
12. The Lord of the Rings: The Two Towers,2002,8.8,13,1.9,179.0
13. Fight Club,1999,8.8,17,2.5,139.0
14. Inception,2010,8.8,13,2.7,148.0
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,10,1.5,124.0
16. The Matrix,1999,8.7,17,2.2,136.0
17. Goodfellas,1990,8.7,17,1.3,145.0
18. Interstellar,2014,8.7,13,2.4,169.0
19. One Flew Over the Cuckoo's Nest,1975,8.7,17,1.1,133.0
20. Se7en,1995,8.6,17,1.9,127.0
21. It's a Wonderful Life,1946,8.6,10,534000.0,130.0
22. The Silence of the Lambs,1991,8.6,17,1.7,118.0
23. Seven Samurai,1954,8.6,0,390000.0,207.0
24. Saving Private Ryan,1998,8.6,17,1.6,169.0
25. The Green Mile,1999,8.6,17,1.5,189.0
26. City of God,2002,8.6,17,849000.0,130.0
27. Life Is Beautiful,1997,8.6,13,790000.0,116.0
28. Terminator 2: Judgment Day,1991,8.6,17,1.3,137.0
29. Star Wars: Episode IV - A New Hope,1977,8.6,10,1.5,121.0
30. Back to the Future,1985,8.5,10,1.4,116.0
31. Spirited Away,2001,8.6,10,930000.0,124.0
32. The Pianist,2002,8.5,17,983000.0,150.0
33. Gladiator,2000,8.5,17,1.8,155.0
34. Parasite,2019,8.5,17,1.1,132.0
35. Psycho,1960,8.5,17,763000.0,109.0
36. The Lion King,1994,8.5,0,1.2,88.0
37. Grave of the Fireflies,1988,8.5,0,362000.0,88.0
38. The Departed,2006,8.5,17,1.5,151.0
39. Whiplash,2014,8.5,17,1.1,106.0
40. Harakiri,1962,8.6,0,83000.0,133.0
41. The Prestige,2006,8.5,13,1.5,130.0
42. American History X,1998,8.5,17,1.2,119.0
43. Léon: The Professional,1994,8.5,17,1.3,110.0
44. Spider-Man: Across the Spider-Verse,2023,8.5,10,480000.0,140.0
45. Casablanca,1942,8.5,10,640000.0,102.0
46. Cinema Paradiso,1988,8.5,10,307000.0,174.0
47. The Intouchables,2011,8.5,17,994000.0,112.0
48. The Usual Suspects,1995,8.5,17,1.2,106.0
49. Alien,1979,8.5,17,1000000.0,117.0
50. Modern Times,1936,8.5,0,277000.0,87.0
51. Rear Window,1954,8.5,10,554000.0,112.0
52. Django Unchained,2012,8.5,17,1.8,165.0
53. Once Upon a Time in the West,1968,8.5,13,374000.0,166.0
54. City Lights,1931,8.5,0,210000.0,87.0
55. Apocalypse Now,1979,8.4,17,751000.0,147.0
56. WALL·E,2008,8.4,0,1.3,98.0
57. Memento,2000,8.4,17,1.4,113.0
58. Dune: Part Two,2024,8.5,13,665000.0,166.0
59. Raiders of the Lost Ark,1981,8.4,10,1.1,115.0
60. Avengers: Infinity War,2018,8.4,13,1.3,149.0
61. The Lives of Others,2006,8.4,17,432000.0,137.0
62. Sunset Boulevard,1950,8.4,5,252000.0,110.0
63. Spider-Man: Into the Spider-Verse,2018,8.4,10,751000.0,117.0
64. Witness for the Prosecution,1957,8.4,5,154000.0,116.0
65. Paths of Glory,1957,8.4,5,230000.0,88.0
66. The Shining,1980,8.4,17,1.2,146.0
67. The Great Dictator,1940,8.4,0,252000.0,125.0
68. Inglourious Basterds,2009,8.4,17,1.7,153.0
69. 12th Fail,2023,8.7,17,156000.0,147.0
70. Aliens,1986,8.4,17,820000.0,137.0
71. The Dark Knight Rises,2012,8.4,13,1.9,164.0
72. Coco,2017,8.4,10,668000.0,105.0
73. Amadeus,1984,8.4,10,455000.0,160.0
74. Avengers: Endgame,2019,8.4,13,1.4,181.0
75. Good Will Hunting,1997,8.3,17,1.2,126.0
76. Toy Story,1995,8.3,0,1.1,81.0
77. High and Low,1963,8.4,0,64000.0,143.0
78. Oldboy,2003,8.3,17,693000.0,130.0
79. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,10,543000.0,95.0
80. Das Boot,1981,8.4,17,282000.0,149.0
81. Braveheart,1995,8.3,17,1.1,178.0
82. Your Name.,2016,8.4,17,370000.0,106.0
83. Princess Mononoke,1997,8.3,13,468000.0,133.0
84. American Beauty,1999,8.3,17,1.3,122.0
85. 3 Idiots,2009,8.4,13,467000.0,170.0
86. Joker,2019,8.3,17,1.6,122.0
87. Capernaum,2018,8.4,17,119000.0,126.0
88. Once Upon a Time in America,1984,8.3,17,400000.0,229.0
89. Singin' in the Rain,1952,8.3,0,276000.0,103.0
90. Come and See,1985,8.3,0,116000.0,142.0
91. Requiem for a Dream,2000,8.3,18,951000.0,102.0
92. Star Wars: Episode VI - Return of the Jedi,1983,8.3,10,1.2,131.0
93. Toy Story 3,2010,8.3,0,945000.0,103.0
94. The Hunt,2012,8.3,17,395000.0,115.0
95. Ikiru,1952,8.3,0,99000.0,143.0
96. Eternal Sunshine of the Spotless Mind,2004,8.3,17,1.2,108.0
97. Incendies,2010,8.3,17,236000.0,131.0
98. The Apartment,1960,8.3,5,212000.0,125.0
99. Lawrence of Arabia,1962,8.3,10,333000.0,227.0
100. 2001: A Space Odyssey,1968,8.3,0,764000.0,149.0
101. Reservoir Dogs,1992,8.3,17,1.1,99.0
102. Scarface,1983,8.3,17,984000.0,170.0
103. Heat,1995,8.3,17,773000.0,170.0
104. Double Indemnity,1944,8.3,5,177000.0,107.0
105. North by Northwest,1959,8.3,5,364000.0,136.0
106. Up,2009,8.3,10,1.2,96.0
107. M,1931,8.3,1,179000.0,99.0
108. Citizen Kane,1941,8.2,10,486000.0,119.0
109. Full Metal Jacket,1987,8.2,17,833000.0,116.0
110. Vertigo,1958,8.2,10,451000.0,128.0
111. Amélie,2001,8.3,17,826000.0,122.0
112. Like Stars on Earth,2007,8.3,10,224000.0,162.0
113. A Separation,2011,8.3,13,273000.0,123.0
114. To Kill a Mockingbird,1962,8.3,5,346000.0,129.0
115. Die Hard,1988,8.2,17,1000000.0,132.0
116. Indiana Jones and the Last Crusade,1989,8.2,13,848000.0,127.0
117. The Sting,1973,8.2,10,293000.0,129.0
118. A Clockwork Orange,1971,8.2,17,920000.0,136.0
119. Metropolis,1927,8.3,0,197000.0,153.0
120. Snatch,2000,8.2,17,956000.0,102.0
121. Oppenheimer,2023,8.3,17,937000.0,190.0
122. 1917,2019,8.2,17,743000.0,119.0
123. L.A. Confidential,1997,8.2,17,648000.0,138.0
124. Downfall,2004,8.2,17,393000.0,156.0
125. Bicycle Thieves,1948,8.2,0,188000.0,89.0
126. Dangal,2016,8.3,0,232000.0,161.0
127. The Wolf of Wall Street,2013,8.2,17,1.7,190.0
128. Green Book,2018,8.2,13,653000.0,130.0
129. The Truman Show,1998,8.2,10,1.3,103.0
130. Hamilton,2020,8.3,13,132000.0,169.0
131. The Chaos Class Failed the Class,1975,8.6,17,28000.0,95.0
132. Taxi Driver,1976,8.2,17,996000.0,114.0
133. Batman Begins,2005,8.2,13,1.7,140.0
134. For a Few Dollars More,1965,8.2,17,293000.0,132.0
135. Judgment at Nuremberg,1961,8.3,5,94000.0,179.0
136. Shutter Island,2010,8.2,17,1.6,138.0
137. Some Like It Hot,1959,8.2,5,299000.0,121.0
138. Jurassic Park,1993,8.2,13,1.1,127.0
139. The Kid,1921,8.2,1,143000.0,68.0
140. The Father,2020,8.2,13,219000.0,97.0
141. There Will Be Blood,2007,8.2,17,682000.0,158.0
142. All About Eve,1950,8.2,5,147000.0,138.0
143. The Sixth Sense,1999,8.2,13,1.1,107.0
144. Ran,1985,8.2,17,147000.0,160.0
145. Casino,1995,8.2,17,602000.0,178.0
146. Top Gun: Maverick,2022,8.2,13,803000.0,130.0
147. No Country for Old Men,2007,8.2,17,1.1,122.0
148. The Thing,1982,8.2,17,508000.0,109.0
149. Unforgiven,1992,8.2,17,460000.0,130.0
150. Pan's Labyrinth,2006,8.2,17,732000.0,118.0
151. Kill Bill: Vol. 1,2003,8.2,17,1.3,111.0
152. A Beautiful Mind,2001,8.2,13,1000000.0,135.0
153. Prisoners,2013,8.2,17,894000.0,153.0
154. The Treasure of the Sierra Madre,1948,8.2,5,139000.0,126.0
155. Finding Nemo,2003,8.2,0,1.2,100.0
156. Howl's Moving Castle,2004,8.2,10,494000.0,119.0
157. Yojimbo,1961,8.2,0,140000.0,110.0
158. The Best of Youth,2003,8.4,17,26000.0,374.0
159. The Great Escape,1963,8.2,5,272000.0,172.0
160. Monty Python and the Holy Grail,1975,8.2,10,594000.0,91.0
161. The Elephant Man,1980,8.2,10,276000.0,124.0
162. Klaus,2019,8.2,10,220000.0,96.0
163. Dial M for Murder,1954,8.2,10,200000.0,105.0
164. Gone with the Wind,1939,8.2,0,350000.0,238.0
165. The Secret in Their Eyes,2009,8.2,17,236000.0,129.0
166. Chinatown,1974,8.1,17,370000.0,130.0
"167. Lock, Stock and Two Smoking Barrels",1998,8.1,17,640000.0,107.0
168. V for Vendetta,2005,8.1,17,1.2,132.0
169. Rashomon,1950,8.1,0,192000.0,88.0
170. Inside Out,2015,8.1,10,884000.0,95.0
"171. Three Billboards Outside Ebbing, Missouri",2017,8.1,17,591000.0,115.0
172. Catch Me If You Can,2002,8.1,13,1.2,141.0
173. Trainspotting,1996,8.1,17,757000.0,93.0
174. The Bridge on the River Kwai,1957,8.1,10,245000.0,161.0
175. Raging Bull,1980,8.1,17,401000.0,129.0
176. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,13,1000000.0,130.0
177. Fargo,1996,8.1,17,765000.0,98.0
178. The Wild Robot,2024,8.2,10,196000.0,102.0
179. Warrior,2011,8.1,13,520000.0,140.0
180. Dead Poets Society,1989,8.1,10,611000.0,128.0
181. Million Dollar Baby,2004,8.1,13,753000.0,132.0
182. Gran Torino,2008,8.1,17,847000.0,116.0
183. Ben-Hur,1959,8.1,0,266000.0,212.0
184. Mad Max: Fury Road,2015,8.1,17,1.2,130.0
185. Barry Lyndon,1975,8.1,10,197000.0,185.0
186. My Neighbor Totoro,1988,8.1,0,416000.0,86.0
187. Children of Heaven,1997,8.2,10,87000.0,89.0
188. Hacksaw Ridge,2016,8.1,17,653000.0,139.0
189. The Grand Budapest Hotel,2014,8.1,17,941000.0,99.0
190. 12 Years a Slave,2013,8.1,17,772000.0,134.0
191. Before Sunrise,1995,8.1,17,366000.0,101.0
192. Spider-Man: No Way Home,2021,8.2,13,977000.0,148.0
193. Blade Runner,1982,8.1,17,864000.0,117.0
194. Memories of Murder,2003,8.1,0,251000.0,132.0
195. Ratatouille,2007,8.1,0,906000.0,111.0
196. Gone Girl,2014,8.1,17,1.1,149.0
197. How to Train Your Dragon,2010,8.1,10,866000.0,98.0
"198. Monsters, Inc.",2001,8.1,0,1000000.0,92.0
199. Jaws,1975,8.1,10,716000.0,124.0
200. In the Name of the Father,1993,8.1,17,199000.0,133.0
201. Wild Tales,2014,8.1,17,232000.0,122.0
202. The Gold Rush,1925,8.1,5,126000.0,95.0
203. Ford v Ferrari,2019,8.1,13,542000.0,152.0
204. Sherlock Jr.,1924,8.1,1,63000.0,165.0
205. Mary and Max,2009,8.1,0,198000.0,92.0
206. The Deer Hunter,1978,8.1,17,380000.0,183.0
207. The General,1926,8.1,1,104000.0,78.0
208. The Wages of Fear,1953,8.1,0,72000.0,156.0
209. Mr. Smith Goes to Washington,1939,8.1,5,127000.0,129.0
210. Logan,2017,8.1,17,903000.0,137.0
211. On the Waterfront,1954,8.1,5,175000.0,108.0
212. Rocky,1976,8.1,10,670000.0,130.0
213. Wild Strawberries,1957,8.1,0,122000.0,92.0
214. Tokyo Story,1953,8.1,0,75000.0,137.0
215. The Third Man,1949,8.1,5,192000.0,104.0
216. Spotlight,2015,8.1,17,525000.0,129.0
217. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,13,1.3,143.0
218. Maharaja,2024,8.4,17,74000.0,141.0
219. The Terminator,1984,8.1,17,978000.0,107.0
220. The Big Lebowski,1998,8.1,17,900000.0,117.0
221. La haine,1995,8.1,0,217000.0,98.0
222. Jai Bhim,2021,8.6,5,229000.0,164.0
223. The Seventh Seal,1957,8.1,0,212000.0,96.0
224. Room,2015,8.1,17,472000.0,118.0
225. Hotel Rwanda,2004,8.1,13,387000.0,121.0
226. Platoon,1986,8.1,17,462000.0,130.0
227. The Best Years of Our Lives,1946,8.1,5,76000.0,170.0
228. Before Sunset,2004,8.1,17,307000.0,80.0
229. The Sound of Music,1965,8.1,0,282000.0,172.0
230. The Exorcist,1973,8.1,17,485000.0,122.0
231. The Incredibles,2004,8.0,10,872000.0,115.0
232. Hachi: A Dog's Tale,2009,8.1,0,333000.0,93.0
233. Rush,2013,8.1,17,545000.0,123.0
234. The Wizard of Oz,1939,8.1,0,456000.0,102.0
235. A Silent Voice: The Movie,2016,8.1,0,128000.0,130.0
236. The Passion of Joan of Arc,1928,8.1,1,66000.0,114.0
237. Stand by Me,1986,8.1,17,472000.0,89.0
238. The Iron Giant,1999,8.1,10,250000.0,86.0
239. My Father and My Son,2005,8.2,0,99000.0,112.0
240. The Handmaiden,2016,8.1,0,193000.0,145.0
241. Network,1976,8.1,17,182000.0,121.0
242. The Battle of Algiers,1966,8.1,0,73000.0,121.0
243. The Grapes of Wrath,1940,8.1,5,106000.0,129.0
244. To Be or Not to Be,1942,8.1,5,48000.0,99.0
245. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,19,90000.0,117.0
246. Gangs of Wasseypur,2012,8.2,0,110000.0,321.0
247. Into the Wild,2007,8.0,17,686000.0,148.0
248. The Help,2011,8.1,13,519000.0,146.0
249. Drishyam,2015,8.2,0,104000.0,163.0
250. Groundhog Day,1993,8.0,10,726000.0,101.0
